date,event_type,local_time,local_tz,source
2020-09-16,FOMC,14:00,America/New_York,federalreserve.gov/monetarypolicy/fomchistorical2020.htm
2020-11-05,FOMC,14:00,America/New_York,federalreserve.gov/monetarypolicy/fomchistorical2020.htm
2020-12-16,FOMC,14:00,America/New_York,federalreserve.gov/monetarypolicy/fomchistorical2020.htm
2021-01-27,FOMC,14:00,America/New_York,federalreserve.gov/monetarypolicy/fomccalendars.htm
2021-03-17,FOMC,14:00,America/New_York,federalreserve.gov/monetarypolicy/fomccalendars.htm
2021-04-28,FOMC,14:00,America/New_York,federalreserve.gov/monetarypolicy/fomccalendars.htm
2021-06-16,FOMC,14:00,America/New_York,federalreserve.gov/monetarypolicy/fomccalendars.htm
2021-07-28,FOMC,14:00,America/New_York,federalreserve.gov/monetarypolicy/fomccalendars.htm
2021-09-22,FOMC,14:00,America/New_York,federalreserve.gov/monetarypolicy/fomccalendars.htm
2021-11-03,FOMC,14:00,America/New_York,federalreserve.gov/monetarypolicy/fomccalendars.htm
2021-12-15,FOMC,14:00,America/New_York,federalreserve.gov/monetarypolicy/fomccalendars.htm
2022-01-26,FOMC,14:00,America/New_York,federalreserve.gov/monetarypolicy/fomccalendars.htm
2022-03-16,FOMC,14:00,America/New_York,federalreserve.gov/monetarypolicy/fomccalendars.htm
2022-05-04,FOMC,14:00,America/New_York,federalreserve.gov/monetarypolicy/fomccalendars.htm
2022-06-15,FOMC,14:00,America/New_York,federalreserve.gov/monetarypolicy/fomccalendars.htm
2022-07-27,FOMC,14:00,America/New_York,federalreserve.gov/monetarypolicy/fomccalendars.htm
2022-09-21,FOMC,14:00,America/New_York,federalreserve.gov/monetarypolicy/fomccalendars.htm
2022-11-02,FOMC,14:00,America/New_York,federalreserve.gov/monetarypolicy/fomccalendars.htm
2022-12-14,FOMC,14:00,America/New_York,federalreserve.gov/monetarypolicy/fomccalendars.htm
2023-02-01,FOMC,14:00,America/New_York,federalreserve.gov/monetarypolicy/fomccalendars.htm
2023-03-22,FOMC,14:00,America/New_York,federalreserve.gov/monetarypolicy/fomccalendars.htm
2023-05-03,FOMC,14:00,America/New_York,federalreserve.gov/monetarypolicy/fomccalendars.htm
2023-06-14,FOMC,14:00,America/New_York,federalreserve.gov/monetarypolicy/fomccalendars.htm
2023-07-26,FOMC,14:00,America/New_York,federalreserve.gov/monetarypolicy/fomccalendars.htm
2023-09-20,FOMC,14:00,America/New_York,federalreserve.gov/monetarypolicy/fomccalendars.htm
2023-11-01,FOMC,14:00,America/New_York,federalreserve.gov/monetarypolicy/fomccalendars.htm
2023-12-13,FOMC,14:00,America/New_York,federalreserve.gov/monetarypolicy/fomccalendars.htm
2024-01-31,FOMC,14:00,America/New_York,federalreserve.gov/monetarypolicy/fomccalendars.htm
2024-03-20,FOMC,14:00,America/New_York,federalreserve.gov/monetarypolicy/fomccalendars.htm
2024-05-01,FOMC,14:00,America/New_York,federalreserve.gov/monetarypolicy/fomccalendars.htm
2024-06-12,FOMC,14:00,America/New_York,federalreserve.gov/monetarypolicy/fomccalendars.htm
2020-09-04,NFP,08:30,America/New_York,bls.gov/schedule/2020/home.htm
2020-10-02,NFP,08:30,America/New_York,bls.gov/schedule/2020/home.htm
2020-11-06,NFP,08:30,America/New_York,bls.gov/schedule/2020/home.htm
2020-12-04,NFP,08:30,America/New_York,bls.gov/schedule/2020/home.htm
2021-01-08,NFP,08:30,America/New_York,bls.gov/schedule/2021/home.htm
2021-02-05,NFP,08:30,America/New_York,bls.gov/schedule/2021/home.htm
2021-03-05,NFP,08:30,America/New_York,bls.gov/schedule/2021/home.htm
2021-04-02,NFP,08:30,America/New_York,bls.gov/schedule/2021/home.htm
2021-05-07,NFP,08:30,America/New_York,bls.gov/schedule/2021/home.htm
2021-06-04,NFP,08:30,America/New_York,bls.gov/schedule/2021/home.htm
2021-07-02,NFP,08:30,America/New_York,bls.gov/schedule/2021/home.htm
2021-08-06,NFP,08:30,America/New_York,bls.gov/schedule/2021/home.htm
2021-09-03,NFP,08:30,America/New_York,bls.gov/schedule/2021/home.htm
2021-10-08,NFP,08:30,America/New_York,bls.gov/schedule/2021/home.htm
2021-11-05,NFP,08:30,America/New_York,bls.gov/schedule/2021/home.htm
2021-12-03,NFP,08:30,America/New_York,bls.gov/schedule/2021/home.htm
2022-01-07,NFP,08:30,America/New_York,bls.gov/schedule/2022/home.htm
2022-02-04,NFP,08:30,America/New_York,bls.gov/schedule/2022/home.htm
2022-03-04,NFP,08:30,America/New_York,bls.gov/schedule/2022/home.htm
2022-04-01,NFP,08:30,America/New_York,bls.gov/schedule/2022/home.htm
2022-05-06,NFP,08:30,America/New_York,bls.gov/schedule/2022/home.htm
2022-06-03,NFP,08:30,America/New_York,bls.gov/schedule/2022/home.htm
2022-07-08,NFP,08:30,America/New_York,bls.gov/schedule/2022/home.htm
2022-08-05,NFP,08:30,America/New_York,bls.gov/schedule/2022/home.htm
2022-09-02,NFP,08:30,America/New_York,bls.gov/schedule/2022/home.htm
2022-10-07,NFP,08:30,America/New_York,bls.gov/schedule/2022/home.htm
2022-11-04,NFP,08:30,America/New_York,bls.gov/schedule/2022/home.htm
2022-12-02,NFP,08:30,America/New_York,bls.gov/schedule/2022/home.htm
2023-01-06,NFP,08:30,America/New_York,bls.gov/schedule/2023/home.htm
2023-02-03,NFP,08:30,America/New_York,bls.gov/schedule/2023/home.htm
2023-03-10,NFP,08:30,America/New_York,bls.gov/schedule/2023/home.htm
2023-04-07,NFP,08:30,America/New_York,bls.gov/schedule/2023/home.htm
2023-05-05,NFP,08:30,America/New_York,bls.gov/schedule/2023/home.htm
2023-06-02,NFP,08:30,America/New_York,bls.gov/schedule/2023/home.htm
2023-07-07,NFP,08:30,America/New_York,bls.gov/schedule/2023/home.htm
2023-08-04,NFP,08:30,America/New_York,bls.gov/schedule/2023/home.htm
2023-09-01,NFP,08:30,America/New_York,bls.gov/schedule/2023/home.htm
2023-10-06,NFP,08:30,America/New_York,bls.gov/schedule/2023/home.htm
2023-11-03,NFP,08:30,America/New_York,bls.gov/schedule/2023/home.htm
2023-12-08,NFP,08:30,America/New_York,bls.gov/schedule/2023/home.htm
2024-01-05,NFP,08:30,America/New_York,bls.gov/schedule/2024/home.htm
2024-02-02,NFP,08:30,America/New_York,bls.gov/schedule/2024/home.htm
2024-03-08,NFP,08:30,America/New_York,bls.gov/schedule/2024/home.htm
2024-04-05,NFP,08:30,America/New_York,bls.gov/schedule/2024/home.htm
2024-05-03,NFP,08:30,America/New_York,bls.gov/schedule/2024/home.htm
2024-06-07,NFP,08:30,America/New_York,bls.gov/schedule/2024/home.htm
2024-07-05,NFP,08:30,America/New_York,bls.gov/schedule/2024/home.htm
2020-09-11,CPI,08:30,America/New_York,bls.gov/schedule/2020/home.htm
2020-10-13,CPI,08:30,America/New_York,bls.gov/schedule/2020/home.htm
2020-11-12,CPI,08:30,America/New_York,bls.gov/schedule/2020/home.htm
2020-12-10,CPI,08:30,America/New_York,bls.gov/schedule/2020/home.htm
2021-01-13,CPI,08:30,America/New_York,bls.gov/schedule/2021/home.htm
2021-02-10,CPI,08:30,America/New_York,bls.gov/schedule/2021/home.htm
2021-03-10,CPI,08:30,America/New_York,bls.gov/schedule/2021/home.htm
2021-04-13,CPI,08:30,America/New_York,bls.gov/schedule/2021/home.htm
2021-05-12,CPI,08:30,America/New_York,bls.gov/schedule/2021/home.htm
2021-06-10,CPI,08:30,America/New_York,bls.gov/schedule/2021/home.htm
2021-07-13,CPI,08:30,America/New_York,bls.gov/schedule/2021/home.htm
2021-08-11,CPI,08:30,America/New_York,bls.gov/schedule/2021/home.htm
2021-09-14,CPI,08:30,America/New_York,bls.gov/schedule/2021/home.htm
2021-10-13,CPI,08:30,America/New_York,bls.gov/schedule/2021/home.htm
2021-11-10,CPI,08:30,America/New_York,bls.gov/schedule/2021/home.htm
2021-12-10,CPI,08:30,America/New_York,bls.gov/schedule/2021/home.htm
2022-01-12,CPI,08:30,America/New_York,bls.gov/schedule/2022/home.htm
2022-02-10,CPI,08:30,America/New_York,bls.gov/schedule/2022/home.htm
2022-03-10,CPI,08:30,America/New_York,bls.gov/schedule/2022/home.htm
2022-04-12,CPI,08:30,America/New_York,bls.gov/schedule/2022/home.htm
2022-05-11,CPI,08:30,America/New_York,bls.gov/schedule/2022/home.htm
2022-06-10,CPI,08:30,America/New_York,bls.gov/schedule/2022/home.htm
2022-07-13,CPI,08:30,America/New_York,bls.gov/schedule/2022/home.htm
2022-08-10,CPI,08:30,America/New_York,bls.gov/schedule/2022/home.htm
2022-09-13,CPI,08:30,America/New_York,bls.gov/schedule/2022/home.htm
2022-10-13,CPI,08:30,America/New_York,bls.gov/schedule/2022/home.htm
2022-11-10,CPI,08:30,America/New_York,bls.gov/schedule/2022/home.htm
2022-12-13,CPI,08:30,America/New_York,bls.gov/schedule/2022/home.htm
2023-01-12,CPI,08:30,America/New_York,bls.gov/schedule/2023/home.htm
2023-02-14,CPI,08:30,America/New_York,bls.gov/schedule/2023/home.htm
2023-03-14,CPI,08:30,America/New_York,bls.gov/schedule/2023/home.htm
2023-04-12,CPI,08:30,America/New_York,bls.gov/schedule/2023/home.htm
2023-05-10,CPI,08:30,America/New_York,bls.gov/schedule/2023/home.htm
2023-06-13,CPI,08:30,America/New_York,bls.gov/schedule/2023/home.htm
2023-07-12,CPI,08:30,America/New_York,bls.gov/schedule/2023/home.htm
2023-08-10,CPI,08:30,America/New_York,bls.gov/schedule/2023/home.htm
2023-09-13,CPI,08:30,America/New_York,bls.gov/schedule/2023/home.htm
2023-10-12,CPI,08:30,America/New_York,bls.gov/schedule/2023/home.htm
2023-11-14,CPI,08:30,America/New_York,bls.gov/schedule/2023/home.htm
2023-12-12,CPI,08:30,America/New_York,bls.gov/schedule/2023/home.htm
2024-01-11,CPI,08:30,America/New_York,bls.gov/schedule/2024/home.htm
2024-02-13,CPI,08:30,America/New_York,bls.gov/schedule/2024/home.htm
2024-03-12,CPI,08:30,America/New_York,bls.gov/schedule/2024/home.htm
2024-04-10,CPI,08:30,America/New_York,bls.gov/schedule/2024/home.htm
2024-05-15,CPI,08:30,America/New_York,bls.gov/schedule/2024/home.htm
2024-06-12,CPI,08:30,America/New_York,bls.gov/schedule/2024/home.htm
2024-07-11,CPI,08:30,America/New_York,bls.gov/schedule/2024/home.htm
